priority,phase,proposed_title,target_url,content_type,primary_keyword,supporting_keyword_cluster,search_intent,conversion_goal,prerequisite,status,notes
P1,2,Travel Agency Website Design in Goa,/industries/travel-and-tours-website-design-goa/,industry_page,travel agency website design goa,"tour operator, booking, tourism",commercial_transactional,tourism project enquiry,Require tourism workflow knowledge,planned,"Cover packages, availability, payments, itinerary, and lead capture."
P1,2,Real Estate Website Design in Goa,/industries/real-estate-website-design-goa/,industry_page,real estate website design goa,"property portal, listings, lead generation",commercial_transactional,property website enquiry,Require property-search feature plan,planned,"Cover listings, maps, filters, WhatsApp, CRM, and project landing pages."
P1,2,Wedding Planner Website Design in Goa,/industries/wedding-website-design-goa/,industry_page,wedding planner website design goa,"destination wedding, portfolio, enquiry",commercial_transactional,wedding business enquiry,Require visual portfolio approach,planned,Strong Goa-specific vertical with international and domestic demand.
P1,2,Web Design Company in North Goa,/locations/north-goa/,regional_hub,web design company in north goa,"Panaji, Mapusa, Porvorim, coastal belt",local_transactional,local enquiry,Confirm service coverage and local proof,conditional,Build before town pages; include genuine regional evidence.
P1,2,Web Design Company in South Goa,/locations/south-goa/,regional_hub,web design company in south goa,"Margao, Vasco, coastal belt",local_transactional,local enquiry,Confirm service coverage and local proof,conditional,Build before town pages; include genuine regional evidence.
P2,3,How to Choose a Web Design Company in Goa,/guides/choose-web-design-company-goa/,guide,how to choose a web design company in goa,"agency vs freelancer, questions, brief",informational_commercial,consultation,Publish service and proof pages first,planned,Decision-support content that internally links to homepage and portfolio.
P2,3,Local SEO Guide for Goa Businesses,/guides/local-seo-goa/,pillar_guide,local seo checklist for goa businesses,"Maps, GBP, reviews, citations",informational_commercial,SEO audit request,Local SEO service page live,planned,Link to GBP and Local SEO services.
P2,3,How to Rank on Google Maps in Goa,/guides/rank-google-maps-goa/,guide,how to rank on google maps in goa,"GBP ranking, reviews, relevance",informational_commercial,GBP audit request,GBP service page live,planned,Base claims on Google guidance; no guaranteed ranking promises.
P2,3,Website Redesign Checklist,/guides/website-redesign-checklist/,guide,signs your website needs a redesign,"migration, mobile, speed, conversion",informational_commercial,redesign audit request,Redesign service page live,planned,Include SEO migration safeguards.
P2,3,Best Website Platform for a Goa Small Business,/guides/best-website-platform-small-business-goa/,comparison_guide,best website platform for small business in goa,"WordPress, Shopify, custom",informational_commercial,platform consultation,Confirm offered platforms,planned,"Recommend by use case, not a one-size-fits-all winner."
P2,3,Hotel Website Direct Booking Guide,/guides/hotel-direct-booking-website-goa/,vertical_guide,hotel website direct booking optimization,"booking engine, OTA, conversion",informational_commercial,hotel project enquiry,Hotel service page live,planned,Build topical depth around the strongest Goa vertical.
P2,4,Web Design Company in Panaji,/locations/panaji/,local_page,website design company in panaji,"Panjim synonym, local services",local_transactional,local enquiry,Unique Panaji proof and demand validation,conditional,One page handles both Panaji and Panjim naturally.
P2,4,Web Design Company in Mapusa,/locations/mapusa/,local_page,website design company in mapusa,Mapusa website development,local_transactional,local enquiry,Unique Mapusa proof; autocomplete validation,conditional,Do not clone regional copy.
P2,4,Web Design Company in Margao,/locations/margao/,local_page,website design company in margao,"Madgaon synonym, South Goa",local_transactional,local enquiry,Unique Margao proof and demand validation,conditional,One page handles Margao and Madgaon naturally.
P2,4,Web Design Company in Porvorim,/locations/porvorim/,local_page,website design company in porvorim,Porvorim web development,local_transactional,local enquiry,Unique Porvorim proof and demand validation,conditional,Publish only if the business genuinely serves and can evidence the area.
P2,4,Web Design Company in Vasco da Gama,/locations/vasco-da-gama/,local_page,website design company in vasco da gama,Vasco web designer,local_transactional,local enquiry,Unique Vasco proof and demand validation,conditional,Use Vasco as a natural synonym.
P3_validate,4,Additional Goa Town Pages,/locations/{locality}/,local_page_template,see local-seo-keywords.csv,town and neighborhood modifiers,local_transactional,local enquiry,GSC/GBP evidence plus unique proof for each town,deferred,"Never mass-publish the full locality matrix; it is a research inventory, not a doorway-page instruction."
